Context,File,Suite (level 1),Suite (level 2),Suite (level 3),Description,Via helpers,Private API called
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_expires,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_expires,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_expires,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_tokenDetails_expiry_with_authcallback,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,auth_tokenDetails_expiry_with_authcallback,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_tokenDetails_expiry_with_authcallback,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_authcallback,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_authcallback,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_authcallback,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_token,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_token,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_token_string_expiry_with_token,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_expired_token_string,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,auth_expired_token_string,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,auth_expired_token_string,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,reauth_authCallback,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,reauth_authCallback,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,reauth_authCallback,availableTransports,read.Realtime._transports
definition,test/realtime/auth.test.js,realtime/auth,,,authorize_immediately_after_init,availableTransports,call.Utils.keysArray
definition,test/realtime/auth.test.js,realtime/auth,,,authorize_immediately_after_init,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/auth.test.js,realtime/auth,,,authorize_immediately_after_init,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelinit0,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelinit0,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelinit0,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach0,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach0,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach0,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach2,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach2,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach2,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach3,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach3,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach3,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachempty,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachempty,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachempty,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachinvalid,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachinvalid,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattachinvalid,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,publish_no_attach,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,publish_no_attach,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,publish_no_attach,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_publish_invalid,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_publish_invalid,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_publish_invalid,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_invalid_twice,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_invalid_twice,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,channelattach_invalid_twice,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicChannelsGet,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicChannelsGet,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicChannelsGet,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicSetOptions,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicSetOptions,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsBasicSetOptions,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,subscribeAfterSetOptions,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,subscribeAfterSetOptions,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,subscribeAfterSetOptions,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,setOptionsCallbackBehaviour,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,setOptionsCallbackBehaviour,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,setOptionsCallbackBehaviour,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsModesAndChannelModes,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsModesAndChannelModes,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsModesAndChannelModes,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelModes,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelModes,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelModes,availableTransports,read.Realtime._transports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsDeltaAndModes,availableTransports,call.Utils.keysArray
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsDeltaAndModes,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/channel.test.js,realtime/channel,,,attachWithChannelParamsDeltaAndModes,availableTransports,read.Realtime._transports
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_128,availableTransports,call.Utils.keysArray
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_128,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_128,availableTransports,read.Realtime._transports
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_256,availableTransports,call.Utils.keysArray
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_256,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/crypto.test.js,realtime/crypto,,,single_send_256,availableTransports,read.Realtime._transports
definition,test/realtime/failure.test.js,realtime/failure,,,disconnected_backoff_,availableTransports,call.Utils.keysArray
definition,test/realtime/failure.test.js,realtime/failure,,,disconnected_backoff_,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/failure.test.js,realtime/failure,,,disconnected_backoff_,availableTransports,read.Realtime._transports
definition,test/realtime/failure.test.js,realtime/failure,,,channel_backoff_,availableTransports,call.Utils.keysArray
definition,test/realtime/failure.test.js,realtime/failure,,,channel_backoff_,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/failure.test.js,realtime/failure,,,channel_backoff_,availableTransports,read.Realtime._transports
definition,test/realtime/failure.test.js,realtime/failure,,,try_fallback_hosts_on_placement_constraint,availableTransports,call.Utils.keysArray
definition,test/realtime/failure.test.js,realtime/failure,,,try_fallback_hosts_on_placement_constraint,availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/failure.test.js,realtime/failure,,,try_fallback_hosts_on_placement_constraint,availableTransports,read.Realtime._transports
definition,test/realtime/init.test.js,realtime/init,,,initbase0,bestTransport -> availableTransports,call.Utils.keysArray
definition,test/realtime/init.test.js,realtime/init,,,initbase0,bestTransport -> availableTransports,call.ConnectionManager.supportedTransports
definition,test/realtime/init.test.js,realtime/init,,,initbase0,bestTransport -> availableTransports,read.Realtime._transports
definition,test/realtime/message.test.js,realtime/message,,,publishfast,availableTransports,call.Utils.keysArray
